Day 2:         985 total calories              Calories
-------------------------------------------------------
Breakfast      Apple & Coffee/Tea              70
Snack          Orange & 100 cal snack          170 
Lunch          Hamburger(3oz) 93% lean,no bun  150
Lunch Sides    Cauliflower(6oz) & Light Soup   140
Snacks         Strawberies(6) & 100 cal snack  145
Dinner         Shrimpl(3.5oz)                  110
Dinner Sides   Asparagus(7oz) & Baked Potato   130
Snacks         Tomatoes(7oz) & Yogurt          140
